full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"  242P/Spahr",.3141568463391375,3.871842289668418,32.14612400222178,181.1266508618351,250.5862742849791,7.418909156931214,20120411.4825969,13.4136657234363,JFc,5994,0,581,,,,,,6.8,14.25,12.6,5.,0.03,,,,,
"  243P/NEAT",.3597096007528222,2.45606210867686,7.634736082478446,87.72781133998569,283.9477671077271,5.215650950161998,20110303.5073508,7.51279839789139,JFc,6019,0,742,,,,,,10.4,15.5,14.8,5.,0.03,,,,,
"  244P/Scotti",.2041765056729921,3.934273874505923,2.267330235327218,354.3328078987636,90.50867951148147,5.953028781299587,20120106.5419140,10.9920817917236,JFc,7260,0,1273,,,-1.008553977541167E-6,,,6.9,14.5,12.5,5.,0.03,,,,,
"  245P/WISE",.4661521982198971,2.139438324028626,21.08784734057847,318.5272544379893,316.399228346431,5.875723738621886,20100204.5355041,8.02290538902929,JFc,5882,1,101,,,,,,17.4,4.5,,,,,,,,
"  246P/NEAT",.2850320817272146,2.878657961997392,15.97071243396372,78.78980829965413,176.2933439911766,5.173893455838625,20130129.1606020,8.07910902171266,JFc,6654,0,4098,,,4.40508243992567E-9,,,4.6,17.5,11.3,5.,0.03,,,,,
"  247P/LINEAR",.6256191874054086,1.484389375479767,13.68232578858054,54.12249986068358,47.33931056764322,6.445447440634945,20110104.1645161,7.89513543159305,JFc,5998,0,1346,,,,,,17.9,4.5,,,,,,,,
"  248P/Gibbs",.6411611960229625,2.146740394540508,6.367789666538791,207.78826359,209.9127677861201,9.818188541505553,20110208.7099399,14.6328322554913,JFc,5301,0,160,,,,,,16.0,4.5,,,,,,,,
"  249P/LINEAR",.8183256634298888,.5034369703522247,8.404533167751222,240.016480836754,64.62667865576449,5.038754401932652,20151126.9017019,4.61302157349441,JFc,5205,0,867,,-2.877782819559678E-11,-7.51303456577241E-13,,,18.3,4.5,,,,,,,,
"  250P/Larson",.4073539763269685,2.212560402856241,13.29555794127378,73.74355418059341,44.92480289655753,5.25415772053045,20101114.8588562,7.21369612119352,JFc,8563,0,470,,,,,,15.6,7.5,,,,,,,,
"  251P/LINEAR",.5097837984601545,1.71153475590762,23.50977787668653,219.5544176119033,30.87910690654265,5.271240397306095,20040618.8248594,6.52386995891424,JFc,4905,1,402,,5.057123050013494E-9,2.228384340510445E-10,,,9.5,34.5,17.1,5.,0.03,,,,,
"  252P/LINEAR",.6731023027853387,.9960563168684656,10.42235707347085,190.9498787310189,343.3108974421889,5.097937769693687,20160315.2651661,5.31883173662062,JFc,1744,3,86,,1.11646784726644E-8,-7.087052457409711E-9,,,17.1,11.25,,,,,,,,
"  253P/PANSTARRS",.4126684165114996,2.039453746259543,4.939125756792141,146.9371624589802,231.0016078466438,4.905358361906181,20111124.1243231,6.47074014192991,JFc,7413,2,362,,-2.862483754194769E-9,-4.437807814560051E-11,,,16.2,4.5,,,,,,,,
"  254P/McNaught",.3174685893431713,3.16411548811022,32.61817857258989,129.8781533673235,219.2750689648638,6.107591099181516,20101022.1019208,9.98165897363233,JFc,14730,0,285,,,,,,14.2,4.5,,,,,,,,
"  255P/Levy",.6720911964451729,.9916311527629077,18.33189992554847,279.7822841376509,179.5784419211818,5.056581899236502,20061007.4028940,5.25900798645754,JFc,1941,1,500,,7.288398637861224E-9,-4.081354306433165E-9,,,11.5,38.,15.2,5.,0.03,,,,,
"  256P/LINEAR",.4179395803450539,2.689709752454994,27.64210650287637,81.44882387793142,124.2035360155941,6.552319637035166,20130318.0254924,9.93377288689803,JFc,3804,0,176,,,,,,13.0,9.5,15.6,5.,0.03,,,,,
"  257P/Catalina",.4324278293148321,2.13030525213997,20.24108789625279,207.8541946922282,117.8729062519384,5.376423802486809,20130604.4314759,7.2717563706918,JFc,5749,0,2077,,-1.31732717060427E-9,-3.083490724880964E-10,,,15.2,4.5,,,,,,,,
"  258P/PANSTARRS",.2104564656035611,3.477562633514327,6.745937144672074,126.2990540094095,25.97323201303195,5.331483307626146,20200617.4158830,9.2439272981154,JFc,7000,1,73,,,,,,16.3,4.5,,,,,,,,
"  259P/Garradd",.34152970302507,1.79593884275509,15.89853730255651,51.9696957134415,256.5909059738796,3.658943028168442,20130125.2461156,4.50444443394446,ETc,3306,0,68,,,,,,13.7,22.,18.9,5.,0.03,,,,,
"  260P/McNaught",.5942159430289182,1.491759123863637,15.76701873526327,351.86427924,15.58484593408193,5.860718620080587,20120912.5014584,7.04877725111921,JFc,5394,0,6637,,1.925343777677543E-10,-1.565153686866914E-11,1.013612824412131E-10,,12.8,12.75,15.4,5.,0.03,,,,,
"  261P/Larson",.3918769065465186,2.184150991472072,6.336546274678119,298.4257315746451,58.97020034635978,4.999101922238068,20120930.1013057,6.80683064307413,JFc,5337,0,1017,,3.873150746685741E-9,8.83922224733931E-10,,,7.4,27.25,15.7,5.,0.03,,,,,
"  262P/McNaught-Russell",.8154009345750882,1.280259612205003,29.07941848690008,218.0143063768048,171.1697623683127,12.59044562953704,20121204.4595881,18.2646360681841,JFC,6706,0,1339,,,,,,14.7,6.5,,,,,,,,
"  263P/Gibbs",.587032627246231,1.251369662383179,14.47188951216377,113.347127391264,26.32781335763413,4.809010624024123,20061228.7792938,5.27488534213207,JFc,4254,1,155,,,,,,18.4,4.5,20.5,5.,0.03,,,,,
