,id,ra,dec,mag,name_bayer,name_bayer_full,name_english,name_flamsteed_full
5780,138923,234.04583333333332,-33.09277777777778,6.24,-,-,-,-
5781,138936,233.76666666666665,1.6688888888888886,6.56,-,-,-,-
5782,138965,235.04583333333332,-70.22777777777777,6.44,-,-,-,-
5783,139006,233.6708333333333,26.71472222222222,2.23,α,α-CrB,Alphecca,5-CrB
5784,139063,234.25416666666666,-28.134999999999998,3.58,υ,υ-Lib,-,39-Lib
5785,139074,233.88750000000002,17.655555555555555,6.12,τ³,τ³-Ser,-,15-Ser
5786,139087,233.97083333333336,11.265555555555556,6.07,-,-,-,-
5787,139127,234.51249999999996,-42.5675,4.33,ω,ω-Lup,-,-
5788,139129,234.70416666666665,-52.37277777777778,5.44,-,-,-,-
5789,139137,234.1375,-0.5616666666666668,6.51,-,-,-,14-Ser
5790,139153,233.81250000000003,39.01,5.11,μ,μ-CrB,-,6-CrB
5791,139160,234.36666666666667,-26.279999999999998,6.19,-,-,-,-
5792,139195,234.12083333333334,10.01,5.26,-,-,-,16-Ser
5793,139211,234.98333333333335,-59.90833333333333,5.95,-,-,-,-
5794,139225,234.12083333333334,16.11888888888889,5.93,τ,τ-Ser,-,18-Ser
5795,139233,234.63333333333333,-39.16083333333333,6.57,-,-,-,-
5796,139254,234.45,-23.141666666666666,5.78,-,-,-,-
5797,139271,234.67499999999998,-39.128055555555555,6.04,-,-,-,-
5798,139284,233.95416666666665,38.37388888888889,6.42,-,-,-,-
5799,139290,234.56249999999997,-28.206666666666667,6.32,-,-,-,-
5800,139329,234.56666666666666,-21.016111111111112,5.84,-,-,-,-
5801,139357,233.81666666666666,53.92194444444444,5.97,-,-,-,-
5802,139365,234.6625,-29.77777777777778,3.66,τ,τ-Lib,-,40-Lib
5803,139389,234.2208333333333,29.991111111111113,6.52,-,-,-,-
5804,139446,234.725,-19.301944444444445,5.38,-,-,-,41-Lib
5805,139460,234.66666666666666,-8.794444444444444,6.5,-,-,-,-
5806,139461,234.66666666666666,-8.79111111111111,6.48,-,-,-,-
5807,139478,234.01666666666665,52.069722222222225,6.74,-,-,-,-
5808,139493,233.9875,54.63055555555555,5.74,-,-,-,-
5809,139518,234.8375,-23.150277777777777,6.34,-,-,-,-
5810,139521,234.9416666666667,-34.411944444444444,4.67,ψ¹,ψ¹-Lup,-,3-Lup
5811,139599,235.24166666666665,-47.73555555555556,6.23,-,-,-,-
5812,139613,235.06249999999997,-31.21361111111111,6.34,-,-,-,-
